OBJECTID,Tract_Name,Tract_FIPS,County,Area_Land_Square_Miles,Area_Water_Square_Miles,Population_Total,Population_Density_PerLandSquareMile
1197,"Census Tract 806, Arapahoe County, Colorado",8005080600,ARAPAHOE,0.48,0,3112,6483.3
1198,"Census Tract 73.02, Arapahoe County, Colorado",8005007302,ARAPAHOE,0.5,0,5432,10864
1199,"Census Tract 800, Arapahoe County, Colorado",8005080000,ARAPAHOE,0.51,0,3503,6868.6
1200,"Census Tract 68.54, Arapahoe County, Colorado",8005006854,ARAPAHOE,3.27,1.21,2774,848.3
1201,"Census Tract 72.01, Arapahoe County, Colorado",8005007201,ARAPAHOE,0.51,0,3963,7770.6
1202,"Census Tract 836, Arapahoe County, Colorado",8005083600,ARAPAHOE,2.04,0,3650,1789.2
1203,"Census Tract 866, Arapahoe County, Colorado",8005086600,ARAPAHOE,2.83,0,5581,1972.1
1204,"Census Tract 853, Arapahoe County, Colorado",8005085300,ARAPAHOE,0.71,0,2450,3450.7
1205,"Census Tract 852, Arapahoe County, Colorado",8005085200,ARAPAHOE,1.4,0,2889,2063.6
1206,"Census Tract 865, Arapahoe County, Colorado",8005086500,ARAPAHOE,2.37,0,5224,2204.2
1207,"Census Tract 863, Arapahoe County, Colorado",8005086300,ARAPAHOE,1.83,0,4445,2429
1208,"Census Tract 68.56, Arapahoe County, Colorado",8005006856,ARAPAHOE,7.36,0,8267,1123.2
1209,"Census Tract 68.57, Arapahoe County, Colorado",8005006857,ARAPAHOE,0.77,0,2250,2922.1
1210,"Census Tract 65.01, Arapahoe County, Colorado",8005006501,ARAPAHOE,0.65,0.02,2134,3283.1
1211,"Census Tract 56.23, Arapahoe County, Colorado",8005005623,ARAPAHOE,1.56,0.02,4226,2709
1212,"Census Tract 67.13, Arapahoe County, Colorado",8005006713,ARAPAHOE,0.2,0,1421,7105
1213,"Census Tract 68.58, Arapahoe County, Colorado",8005006858,ARAPAHOE,1.09,0,4921,4514.7
1214,"Census Tract 56.35, Arapahoe County, Colorado",8005005635,ARAPAHOE,1.04,0,5046,4851.9
1215,"Census Tract 67.12, Arapahoe County, Colorado",8005006712,ARAPAHOE,1.96,0,1482,756.1
1216,"Census Tract 56.36, Arapahoe County, Colorado",8005005636,ARAPAHOE,1.97,0.01,1880,954.3
1217,"Census Tract 49.51, Arapahoe County, Colorado",8005004951,ARAPAHOE,0.06,0,2345,39083.3
1218,"Census Tract 49.52, Arapahoe County, Colorado",8005004952,ARAPAHOE,0.49,0,2560,5224.5
1219,"Census Tract 827, Arapahoe County, Colorado",8005082700,ARAPAHOE,0.47,0,3502,7451.1
1220,"Census Tract 822, Arapahoe County, Colorado",8005082200,ARAPAHOE,0.75,0,5890,7853.3
1221,"Census Tract 825, Arapahoe County, Colorado",8005082500,ARAPAHOE,0.49,0,2352,4800
1222,"Census Tract 815, Arapahoe County, Colorado",8005081500,ARAPAHOE,0.7,0,3090,4414.3
1223,"Census Tract 65.02, Arapahoe County, Colorado",8005006502,ARAPAHOE,0.75,0,3559,4745.3
1224,"Census Tract 55.52, Arapahoe County, Colorado",8005005552,ARAPAHOE,0.79,0.02,2516,3184.8
1225,"Census Tract 77.04, Arapahoe County, Colorado",8005007704,ARAPAHOE,0.32,0,5037,15740.6
1226,"Census Tract 841, Arapahoe County, Colorado",8005084100,ARAPAHOE,0.59,0,4351,7374.6
