state	test_id	recall_vote
CO	4031034	DK
CO	4923893	Yes
CO	1808328	Yes
CO	1646158	No
CO	659752	DK
CO	4213054	Yes
CO	2327258	Yes
CO	1239597	DK
CO	1463362	No
CO	728252	DK
CO	4487300	No
CO	2278093	Yes
CO	2778480	Yes
CO	4892014	No
CO	502366	DK
CO	4928957	Yes
CO	1380690	Yes
CO	3271111	Yes
CO	511227	DK
CO	4425055	Yes
AZ	286043	DK
CO	1392217	No
CO	4742816	No
CO	3201436	Yes
CO	1957435	DK
CO	764959	No
CO	3596590	Yes
CO	772098	Yes
CO	4761582	Yes
FL	4873289	No
CO	3981317	DK
CO	2831363	DK
CO	3548999	No
CO	2766360	Yes
CO	1992611	Yes
CO	3404668	Yes
CO	1556958	Yes
CO	3590349	DK
CO	156999	DK
CO	4973627	No
CO	756838	Yes
CO	4493395	Yes
CO	4255412	Yes
CO	2480833	No
CO	970912	No
CO	3993718	Yes
CO	2831413	Yes
CO	1361250	DK
CO	1027342	No
CO	2972400	Yes
CO	436426	No
CO	4617906	No
CO	2351624	Yes
CO	4681398	No
CO	1496287	Yes
CO	4451438	Yes
CO	67898	Yes
CO	3685256	DK
CO	227582	DK
CO	1936183	DK
CO	3708247	No
CO	995016	Yes
CO	3159564	Yes
CO	3120204	DK
CO	905028	Yes
CO	56962	No
CO	2612013	No
CO	1982060	Yes
CO	4913747	DK
CO	254544	Yes
CO	3267036	DK
CO	3586066	DK
CO	1436916	Yes
CO	1305201	DK
CO	2189935	DK
CO	932986	DK
CO	3220830	Yes
CO	2443871	No
CO	1670200	DK
CO	4988637	Yes
CO	1934009	Yes
CO	827418	Yes
CO	1313929	Yes
CO	3363618	Yes
CO	826903	Yes
CO	3095990	Yes
CO	1596272	DK
CO	1031457	Yes
CO	2018593	DK
CO	4454349	DK
CO	700478	Yes
CO	616522	No
CO	872138	No
CO	3475118	Yes
CO	1623561	No
CO	1568770	No
CO	926622	No
CO	2411630	DK
CO	2301810	Yes
CO	112946	Yes
CO	4820427	DK
CO	779295	DK
CO	339191	DK
CO	1125582	Yes
CO	737223	No
CO	4642167	No
CO	3431367	Yes
CO	3129107	No
CO	4714362	Yes
CO	444599	DK
CO	1138321	DK
CO	2385700	Yes
CO	2972058	DK
CO	4943097	Yes
CO	2872605	Yes
CO	3918135	Yes
CO	4341076	Yes
CO	871591	DK
CO	2593773	DK
CO	608516	No
CO	3339154	No
CO	3025050	No
CO	4593367	No
CO	4514895	Yes
CO	1881175	No
CO	192988	DK
CO	4993816	Yes
CO	3394318	No
CO	1033009	No
CO	3533320	DK
CO	2641038	Yes
CO	1062020	Yes
CO	3145395	No
CO	457485	DK
CO	1050394	DK
CO	1204211	DK
CO	4914816	DK
CO	3672295	No
CO	846607	No
CO	467884	No
CO	821108	Yes
CO	2316381	Yes
CO	1995774	Yes
CO	2737042	No
CO	3039268	DK
WI	779677	No
CO	4032254	No
CO	4268498	Yes
CO	2152674	DK
CO	4359976	Yes
CO	4640781	Yes
CO	1012257	Yes
CO	2640765	Yes
CO	3085016	Yes
CO	1897667	No
CO	158665	Yes
CO	1551190	No
CO	1422564	Yes
CA	2260846	Yes
CO	307030	No
CO	4288217	Yes
CO	2382268	DK
CO	412397	Yes
CO	548546	DK
CO	1179746	DK
CO	1971131	DK
CO	3857656	No
CO	2572232	Yes
CO	676593	Yes
CO	1283963	Yes
CO	4748884	Yes
CO	1248679	No
CO	2557315	No
CO	3904000	No
CO	3797600	Yes
CO	326130	DK
CO	2164993	Yes
CO	3049163	Yes
CO	1964216	Yes
CO	1532432	DK
CO	833938	Yes
CO	180892	Yes
CO	3593749	No
CO	4235495	No
CO	2335786	No
CO	1747423	Yes
CO	2522982	DK
CO	1633279	No
CO	1375739	DK
CO	506857	Yes
CO	2472067	DK
CO	3055376	DK
CO	2013424	DK
CO	4384513	No
CO	716973	No
CO	3016632	Yes
CO	3227799	Yes
CO	3633804	Yes
CO	4721574	Yes
CO	630658	No
CO	3001086	Yes
CO	3625162	Yes
CO	544788	Yes
CO	927808	DK
CO	217691	Yes
CO	4363598	DK
CO	943028	Yes
CO	4587230	DK
CO	3914741	DK
CO	1425685	Yes
CO	828711	Yes
CO	3178775	DK
CO	3495805	No
CO	219119	No
CO	2322162	No
CO	1167867	Yes
CO	2815431	Yes
CO	4040241	DK
CO	2300348	DK
CO	1467996	Yes
CO	4880224	No
CO	2550513	No
CO	514553	DK
CO	996756	No
CO	4868220	DK
CO	369181	No
CO	301904	No
CO	3104702	DK
CO	173219	No
CO	4993014	Yes
CO	630666	No
CO	2974013	Yes
CO	340351	DK
CO	1559753	Yes
CO	2673799	No
CO	1777032	Yes
CO	3801326	Yes
CO	3717808	No
CO	3324591	DK
CO	3877999	Yes
CO	4664390	DK
CO	1380941	Yes
CO	4832916	DK
CO	4412723	Yes
CO	22520	No
CO	808276	No
CO	912926	DK
CO	583720	Yes
CO	199217	Yes
CO	4355912	Yes
CO	1400579	Yes
CO	4344045	No
CO	2963205	No
CO	693972	Yes
CO	585011	Yes
CO	3833615	Yes
CO	1912717	Yes
CO	1815032	No
CO	139141	No
CO	4119888	Yes
CO	2695576	Yes
CO	1361095	DK
CO	4543427	No
CO	1167178	DK
CO	1127373	No
CO	2765845	DK
CO	3778335	DK
CO	750211	DK
CO	1684066	No
CO	3460464	No
CO	34337	DK
CO	145134	Yes
CO	2512442	No
CO	1692448	Yes
CO	489611	Yes
CO	3706240	DK
CO	2971774	DK
CO	2024272	No
CO	4226943	Yes
CO	2796650	No
CO	2234899	No
CO	2087615	Yes
CO	2049694	No
CO	3050478	Yes
CO	3216067	Yes
CO	1953998	No
CO	640471	Yes
CO	3429345	Yes
CO	2367475	No
CO	184896	DK
CO	2622626	DK
CO	3248938	Yes
CO	2884399	DK
CO	4881687	No
CO	2189105	No
CO	2410119	No
CO	1536116	Yes
CO	2874867	No
CO	1548813	Yes
CO	1966187	DK
CO	4882228	No
CO	3374899	DK
CO	1862988	Yes
CO	31572	Yes
CO	3358180	No
CO	62271	No
CO	10606	Yes
CO	2941747	Yes
CO	1933105	No
CO	1398692	Yes
CO	1304320	No
CO	1707665	DK
CO	2763502	No
CO	1022926	No
CO	982708	Yes
CO	1176980	DK
CO	2183548	No
CO	386531	DK
CO	330937	No
CO	49466	No
CO	1027058	No
CO	4031762	No
CO	1272424	Yes
CO	3135791	Yes
CO	1946156	No
CO	2392321	No
CO	768957	No
CO	3515730	DK
CO	1644914	Yes
CO	2658123	Yes
